Name,StartTime,EndTime,Duration(s),Id,ParentId,RootId,fileName,project,qualifiedNameOfFile,userOpName,length,cache,cpuDelta(s),realDelta(s),gc0,gc1,gc2,outputDllFile,buildPhase,stackGuardName,stackGuardCurrentDepth,stackGuardMaxDepth,callerMemberName,callerFilePath,callerLineNumber
ParseAndCheckFile.parseFile,16-50-00.5950,16-50-00.5954,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-1c7b95080b195dbe-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo5.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5950,16-50-00.5954,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-358bf38b0cd44bda-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo2505.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5952,16-50-00.5956,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-116592921eb16bff-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo3755.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5952,16-50-00.5956,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-716822686d3ff10e-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo1254.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5955,16-50-00.5958,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-2b427b1c3df63efc-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo2506.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5955,16-50-00.5958,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-2a4f138cd90d8f98-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo6.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5956,16-50-00.5960,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-7141a25c927d75fe-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo3756.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5956,16-50-00.5960,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-69c05b5ad37829cb-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo1255.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5959,16-50-00.5963,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-ca80349ff501b1c8-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo7.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5959,16-50-00.5963,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-c8197863554d3068-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo2507.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5960,16-50-00.5964,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-5b7d1feae41fb42a-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo1256.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5963,16-50-00.5967,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-e7dc4a223a496df5-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo2508.fs,,,,,,,,,,,,Parse,,,,,,
ParseAndCheckFile.parseFile,16-50-00.5965,16-50-00.5969,000.0004,00-e7e3185b61dd18faf9c301d6b4c42a8a-f59e4eb3a6b256d2-00,00-e7e3185b61dd18faf9c301d6b4c42a8a-1257102cad84ff61-00,e7e3185b61dd18faf9c301d6b4c42a8a,/tmp/perf-test-5000/Foo1257.fs,,,,,,,,,,,,Parse,,,,,,
